Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
X2	0.00363570819328866	0	0.00214295395409146	0.069447043907478	0	0.143454337806857	0	0.0165155644784522	0.000875447350218767	0	0.0380137736542854	0.0256570405497163	0.0344088059013185	0.00406994624747541	0.049292577569079	0.574435201163304	0	0	0.0246429739257708	0	0	0.0134086252986642	9999	0.0401275867175979	1.0914356563312
X3	0.00751342069239105	0	0	0	0.0167424369323377	0.364906134677543	0	0.0788459155220166	0	0	0	0.0512490598509115	0.0875049962002325	0.100090476022899	0.00416508997305845	0.19373541681208	0	0.00672181473299549	0.0842125714173759	0	0.00431266716615839	0	9999	0.0339716864048292	1.07788121350512
X4	0	0	0	0	0	0.389087526759463	0	0	0.0273132893605786	0	0.0294902216238601	0.0779989458957694	0.110412581804743	0.138840812759084	0	0.0121093904662755	0	0	0.174032307275161	0	0	0.0407149240550647	9999	-0.0266546173947615	1.10714235596817
X5	0	0.00405164694591947	0	0	0	0.104393170576984	0	0	0	0	0.0155259445316493	0.0123055569507746	0.152430943943399	0	0.016346313113338	0.617018845217326	0	0	0	0	0.058699965966688	0.0192276127539211	9999	0.0506114230935734	1.10652884286611
X6	0.00165472177584845	0.0156360373442858	0	0.0314640523714041	0	0.107200732465327	0	0.00577740869267234	0	0	0.0464799215537588	0.00781313033497653	0.327661926432599	0	0.0134166250699955	0.266377151304213	0	0	0.166652217708592	0	0	0.00986607494632665	9999	0.0118175619812648	1.08774257065677
X7	0.000352009064134897	0.0041940406428262	0	0	0	0.363654705009745	0	0.00130284565210735	0.00933224703597115	0	0.0115065380096648	0.02766008323883	0.0267877359798428	0.263477200222409	0	0.201351893601242	0	0	0.0761438840405549	0	0	0.014236817502672	9999	0.121880081931832	1.05082801712948
X8	0.00255258200473783	0.00663226581410164	0	0	0	0.1510017069004	0	0.00386280390979698	0.0360876313537506	0	0.0618757176999697	0.0335919922944696	0.0447246072081106	0.320799600667745	0	0.329412350561574	0	0	0	0	0.00197366891331017	0.00748507267203413	9999	0.148983657626392	1.05669832752672
X9	0.00255258200473783	0.00663226581410164	0	0	0	0.1510017069004	0	0.00386280390979698	0.0360876313537506	0	0.0618757176999697	0.0335919922944696	0.0447246072081106	0.320799600667745	0	0.329412350561574	0	0	0	0	0.00197366891331017	0.00748507267203413	9999	0.148983657626392	1.05669832752672
X10	0.0299804538944267	0	0.00249319508548041	0.027415040776232	0	0.273729723200229	0	0.0246273246389585	0.00232533650369395	0	0	0	0.0404674735989933	0	0.0354711145520112	0.501002274672354	0	0.00577691833436904	0	0.0457212835826538	0.00149572231433834	0.0094941388462598	9999	0.0508187659879597	1.07836768734169
X11	0	0.00929823418446446	0	0	0.0265343803474979	0.181665930838066	0	0	0	0.0931138495177761	0	0.0597430923833045	0	0.242602461313138	0.0267524604649085	0.123257441695706	0	0.00188971685039451	0.234261811209801	0	0.000880621194942723	0	9999	0.00886646202952574	1.09224851262761
X12	0	0.0104776675459674	0	0	0	0.252514851867996	0	0.0769444010426226	0	0	0	0.0594488240699445	0.0578897119778824	0.0452385560508166	0.0355622331245924	0.410582475028433	0	0	0.0513412792917453	0	0	0	9999	0.00947292479736338	1.08812222434317
X13	0	0.0104776675459674	0	0	0	0.252514851867996	0	0.0769444010426226	0	0	0	0.0594488240699445	0.0578897119778824	0.0452385560508166	0.0355622331245924	0.410582475028433	0	0	0.0513412792917453	0	0	0	9999	0.00947292479736338	1.08812222434317
X14	0	0.00249088311226007	0.000604510580364345	0.0237134406025564	0	0.24818895073051	0.00193062286915272	0.00332951700365158	0	0	0.0704681790294992	0	0.0624130101298166	0.00902186175021508	0.0229866406456181	0.429320960916742	0	0.0028378940539581	0.114797234536736	0	0	0.00789629403891947	9999	0.0512464632617926	1.06634838464152
X15	0	0.004058126129633	0	0	0	0.0951726678589206	0	0.00535511344673458	0	0	0	0.0215735193633631	0.185171630786973	0	0.0298634167791958	0.623930695549421	0	0	0	0.00963508408651683	0.0252397459992412	0	9999	0.0895977932034562	1.09121484877647
